"content","pos","meaning","examples","collocations","mode"
"skepticism","n.","懷疑論；懷疑態度","Credits are not always given as the Batman... meet with public **skepticism**.","","recognition"
"be overwhelmed by","","被...淹沒；難以招架","","","production"
"choke","","哽咽","","","production"
"be under pressure","","承受壓力","","** be under + pressure|stress|strain","production"
"讓...身處危險","","讓...身處危險","","","production"
"regretful","","感到懊悔的","","","production"
"ordeal","n.","嚴峻考驗；折磨；煎熬","He chose the exact same beach where he had suffered his traumatic **ordeal**...","** a terrifying ordeal","recognition"
"impose a burden on","","造成負擔","","** impose|place|put + a burden on + 人|群體","production"
"in vain","","徒勞無功；白費","","","production"
"feel at a loss","","感到失落/不知所措","","","production"
"develop bad habits","","一旦養成壞習慣 (d...)","","** develop|form a habit (養成習慣)|**  (entrenched - 根深蒂固的)","production"
"hesitate to + VR","","不願意/猶豫做某事","","** won't hesitate to (毫不猶豫地...)","production"
"take its toll","","take its toll","The event was too demanding, and age **took its toll**.","** take a heavy toll on + N.","recognition"
"on impulse","","一時衝動","","","production"
"instant gratification","","即時享樂","","gratification (滿足；滿意)","production"
"pay the price","","付出代價","","** pay the price|pay dearly + for + N.|Ving","production"
"outburst","n.","(情緒) 爆發；噴出","Her sudden **outburst** of anger shocked everyone in the room.","** an outburst of anger|laughter","recognition"
"dilemma","n.","進退兩難；困境","She faced a moral **dilemma** between loyalty and honesty.","** in a dilemma","recognition"
"不敢嘗試","","不敢嘗試","","** dare (敢於)","production"
"underwhelming","adj.","令人失望的；未達預期的","The movie's ending was **underwhelming** after such a great buildup.","","recognition"
"scramble into","","慌張地走進 (s...)","","** scramble 指倉促、慌亂地移動","production"
"take umbrage at","","對...感到生氣/被冒犯","But the computer of the future is likely to talk back and **take umbrage at** such ill-tempered rantings.","** umbrage 原意是「陰影」，引申為心中的陰影(不快)。","recognition"
"leaves... feeling suffocated / overwhelmed","","讓（某人）感到喘不過氣/難以承受","","** suffocated (窒息的)；overwhelmed (難以承受的)","production"
"grave danger","","grave danger","The patient is still in **grave danger**.","","recognition"
"torture","","折磨","","","production"
"prevent ... from ...","","使...不敢/無法...","","","production"
"risk","","冒著...的危險","","","production"
"misplaced","adj.","放錯地方的；不適切的","His confidence was **misplaced**, as he had not prepared for the exam at all.","** misplaced trust|confidence (錯付的信任|信心)","recognition"
"cross","adj.","生氣的；易怒的 (熟詞生義)","Poor Sandy was getting very tired and ever so **cross**...","","recognition"
"lukewarm","adj.","微溫的；冷淡的 (反應不熱烈)","He gave a **lukewarm** response to our proposal, showing little interest.","** lukewarm water|lukewarm support","recognition"
"be in crisis","","面臨危機","","** crisis [n.] 危機","production"
"weep","v.","weep [v.]","She started to **weep** when she heard the sad news.","","recognition"
"be ambivalent about","","對...感到矛盾/心情複雜","","** ambivalent (adj.) 矛盾的 (ambi- = both)","production"
"vengeance","n.","復仇；報復","He swore to take **vengeance** on those who killed his father.","** take vengeance on sb.","recognition"
"cynical","adj.","憤世嫱俗的；冷嘲熱諷的","He is **cynical** about politicians' promises.","** be cynical about...","recognition"
"be caught in a dilemma","","陷入困境","","** be caught in|face|confront + a dilemma","production"
"off guard","","off guard","The sudden question caught the politician **off guard**.","** catch sb. off guard","recognition"
"feel inferior","","感到自卑 (i...)","","** feel inferior to sb. (感到比某人卑微)","production"
"scramble for dear life","","拼命地；為了保命而拼搏","The hikers were **scrambling for dear life** to escape the sudden rockfall.","** for dear life 為慣用語，常用於拚命逃跑、呼喊或緊握。","recognition"
"hazardous","","危險的；有害的","","","production"
"unwavering","adj.","堅定的；不動搖的","Her **unwavering** support helped him through the difficult times.","","recognition"
"narcissistic","adj.","自戀的；自我陶醉的","His **narcissistic** behavior made it difficult for him to maintain relationships.","","recognition"
"be proactive in Ving","","積極主動的（做某事）","","** 後接行為習慣搭配 in + V-ing","production"
"a clear conscience","","問心無愧 (清白的良心)","","** conscience [n.] 良知|良心 (不可拼錯)","production"
"staid","adj.","古板的；嚴肅無趣的","The company is trying to change its **staid** image to attract younger customers.","","recognition"
"Self-discipline is the foundation of success.","","自律是成功的基礎","","** foundation (基礎|地基)；self-discipline (自律)","production"
"intense curiosity and keen observation","","強烈的好奇心與敏銳的觀察力","","** intense (強烈的)；keen (敏銳的)","production"
"integrity","n.","正直；誠實；完整性","He is a man of high **integrity** who never lies.","** territorial integrity (領土完整)","recognition"
"go out of one’s way","v. phr.","特地；費盡心思","She **went out of her way** to make the exchange student feel welcome.","** go out of one's way + to V.","recognition"
"shortcomings","","缺點 (注意：可數)","","** 指人格、計畫或系統的短處","production"
"demonstrate confidence","","展現自信","","** demonstrate (展現|證明)","production"
"frivolous","adj.","輕浮的；草率的；無聊的","Elizabeth is not aggressive, rebellious or **frivolous**.","** frivolous behavior|lawsuit","recognition"
"put oneself in others' shoes","","設身處地為人著想","","","production"
"承諾；致力於","","承諾；致力於","","","production"
"an inclusive attitude","","包容的態度","","** inclusive (包容的)","production"
"eccentric","adj.","古怪的；反常的","The billionaire was known for his **eccentric** habits.","** eccentric character","recognition"
"consider oneself superior to others","","自覺比他人優越","","** superior|inferior 固定搭配介系詞 **to**，不可用 than","production"
"generosity","U.","慷慨","","","recognition"
"面對... (困難/挑戰)","","面對... (困難/挑戰)","","** in the face of difficulties","production"
"be willing to","","願意...","","","production"
"a sense of identity with...","","對...的認同感","","** 固定搭配介系詞 with","production"
"resilience","","韌性","","** 描述面對挫折時的恢復力","production"
"battle one's way through","","奮力穿過；披荊斬棘","We had to **battle our way through** the crowded market.","** battle one's way + 介系詞片語","recognition"
"remain cautious","","保持謹慎","","","production"
"be devoted to","","致力於","","","production"
"spontaneity","n.","自發性；自然而然","The couple enjoyed the **spontaneity** of their unplanned road trip.","","recognition"
"adhere","v.","遵守；黏附","All members must **adhere** to the strict rules of the club.","** adhere to + N. (堅持；遵守)","recognition"
"diehard","adj.","頑固的；死忠的","You can find many **diehard** surfers who will try their sport anywhere.","","recognition"
"character and behavior","","品格與行為","","** character 指內在品質|人格","production"
"set high standards for sb.","","為某人設下高標準","","** set standards (設定標準)","production"
"meticulous","adj.","一絲不苟的；嚴謹的","","","recognition"
"eliminating / getting rid of (selfishness and greed)","","消除 (負面特質)","","** 消除私心、貪婪等特質用 eliminate，不可用 clear up","production"
"take responsibility for","","承擔責任","","** take|assume|bear + responsibility for + N.|Ving","production"
"perseverance","","毅力 (注意拼字: per-se-ver...)","","","production"
"aspiring","adj.","有抱負的；志向...的","The workshop is designed for **aspiring** young writers who want to publish their first book.","** aspiring + 職業名","recognition"
"dogmatic","adj.","武斷的；教條主義的","He is too **dogmatic** to listen to other people's opinions.","** dogmatic beliefs","recognition"
"impartial","adj.","impartial [adj.]","A judge must remain **impartial** during the trial.","** impartial advice","recognition"
"the last person to + VR","","絕不會...的人","","** 表示「最不可能做某事的人」","production"
"character development","","人格發展","","** character [U.] (人格|品格)","production"
"complacent","adj.","自滿的；掉以輕心的","","","recognition"
"persistence in ...","","對...的堅持","","** persistence 後固定接介系詞 in","production"
"unfailing enthusiasm","","始終如一的熱忱","","** unfailing (不懈的|始終如一的)","production"
"resist the temptation","","抵抗誘惑","","","production"
"lofty moral standards","","崇高的道德標準","","** lofty (崇高的)；moral (道德的，形容詞)","production"
"take ... in stride","","從容應對；泰然處之","...managing to **take it all in stride**.","","recognition"
"care for others","","關心別人","","** care for = take care of|look after","production"
"面對（艱鉅的）情況","","面對（艱鉅的）情況","","","production"
"withstand","","承受；經得起","","","production"
"demonstrate determination","","展現決心","","** demonstrate|show|display + determination|commitment|resolve","production"
"go through with","v.","完成（已決定但艱難或令人不安的事）","Despite his nervousness, he decided to **go through with** the surgery.","** go through with a plan|action","recognition"
"be liable to","","有...的傾向；易患...","","","production"
"thanks to one's persistence","","幸虧某人的堅持","","** persistence (堅持不懈，正面) vs insistence (堅持己見，常帶負面)","production"
"graciously","adv.","優雅地；和藹地","She **graciously** accepted the award and thanked her team.","** 形容詞為 gracious。","recognition"
"stand in others' shoes","","設身處地為他人著想","","** 亦可寫作 put oneself in someone's shoes","production"
"cope with / deal with","","應對未知挑戰/處境","","","production"
"reveal underlying emotions","","透露潛在的情緒","","** reveal (揭露)；underlying (潛在的|深層的)","production"
"rousing","adj.","激動人心的；鼓舞鬥志的","The speaker gave a **rousing** speech that inspired everyone to take action.","** a rousing cheer|a rousing speech","recognition"
"earn compliments and adoration","","贏得讚美與愛慕","","** earn 指憑努力獲得（尊敬|稱讚）；compliment (讚美)","production"
"On the path to success","","在(追求)成功的道路上","","** path (路徑|小徑)","production"
"most anticipated","","最期待的","","","production"
"be renowned for / be famous for","","以...聞名","","","production"
"allure","n.","誘惑；吸引力","The **allure** of easy money is hard to resist.","","recognition"
"satisfaction with life","","對生活感到滿足 n.","","** satisfaction 後固定搭配介系詞 with","production"
"enchanting","adj.","迷人的；使人陶醉的","The forest looked **enchanting** in the soft glow of the moonlight.","","recognition"
"be hailed as","phr.","被譽為...；被稱頌為...","The new invention has **been hailed as** a breakthrough in medicine.","** be hailed as + 身分|地位","recognition"
"hysterically","adv.","歇斯底里地","The crowd was laughing **hysterically** at the comedian's jokes.","** hysterical (adj.) 極度激動的","recognition"
"change ... for the better","","把...變得更好","","","production"
"be of great help (to sb.)(in sth.)","","對...有很大幫助","","","production"
"maintain momentum","","維持動力","","** momentum (動力|勢頭)","production"
"fruits are piling up","","結果實；收穫多 (f...)","","","production"
"hope + (that) 子句","","希望 (Wish vs Hope)","","","production"
"gratitude","U.","感激","","","recognition"
"perform good deeds","","行善；做善事","","** deed (行為|功績)","production"
"intriguing","","引人入勝的","","","production"
"world-renowned","","舉世聞名的","","** renown (n. 名望)；renowned (adj. 有名的)","production"
"put ... on the map","","使...出名","","","production"
"get caught up in","phr.","陷入；捲入；沉浸於","It’s easy to **get caught up in** the excitement of the festival.","** 常指身不由己地捲入某種情況或情緒中","recognition"
"the tranquility (deep) within / inner peace","","內心的平靜/深處的寧靜","","** tranquility (寧靜)","production"
"one of the youngest champions","","其中一位最年輕的冠軍","","","production"
"liven up","","使活躍；使有生氣","Some music would help **liven up** the party.","","recognition"
"fame and fortune","","名利","","","production"
"benefit greatly from ...","","從...中獲益良多","","** benefit (v.) from + 來源","production"
"marvel at","","對...感到驚嘆/驚奇","often **marvel at** the beauty of the ancient temple.","** marvel (n.) 奇蹟; marvel (v.) 驚嘆","recognition"
"gain a foothold","","站穩腳步","","** gain|establish|secure + a foothold (in + 領域|市場)","production"
"take the first step","","踏出第一步","","** 指開始行動","production"
"look on the bright side of things","","看待事情光明的一面","","look on the bright side of + N. (固定片語)","production"
"pay off","v.","得到回報；取得成功","All the hard work finally **paid off** when he was awarded the scholarship.","** efforts|hard work pay off","recognition"
"have one's sights set on","","把目光投向...；目標鎖定...","The New Space industry **has its sights set on** space tourism.","","recognition"
"live up to","v.","符合（預期、標準）；不負（盛名）","The new movie didn't quite **live up to** the high expectations of the fans.","** live up to expectations|reputation","recognition"
"long for","v.","渴望","After years abroad, she **longed for** the comfort of home.","** long for N.|long to V.","recognition"
"reach one's potential","","發揮潛能","","** reach|realize one's potential","production"
"a gesture of appreciation","","出於對...的欣賞/感激","","","production"
"acclaim","","acclaim: 稱讚；推崇","The movie received wide **acclaim**, making the director **exclaim** with joy.","**  widespread acclaim","recognition"
"seize the opportunity","","抓住機會","","** seize|grasp|grab|take + the opportunity|chance","production"
"instill confidence in us","","給予我們信心 (i...)","","instill sth. in sb. (向某人灌輸|賦予某種特質)|**  instill into","production"
"seek/find comfort in ...","","從...中尋找慰藉","","** 介系詞用 in，不用 from","production"
"beat the odds","","克服困難；出奇制勝","","","production"
"diligent effort","","努力、付出","","diligent (勤勉的|辛勤的)","production"
"elation [U.]","","興高采烈","","","production"
"revered","adj.","受推崇的；受尊敬的","His works of art may not be as **revered** as Da Vinci's...","","recognition"
"a positive outlook on life","","正向的人生觀","","** outlook (觀點|展望)","production"
"escape life's heavy burdens","","脫離生活的沉重負擔","","** escape (逃避)；burden (負擔)","production"
"ecstatic","adj.","欣喜若狂的","Love felt so blessed and **ecstatic** that she forgot to ask the elder his name.","","recognition"
"battle one's way into","","奮力闖進；過關斬將進入","","","production"
"make a resolution","","許下願望/決心","","","production"
"realize our dreams","","實現夢想","","** realize|fulfill|achieve one's dreams","production"
"pursue","","追求","","","production"
"garnered widespread awareness in","","在...獲得廣泛關注","","** garner (獲得) + awareness|support","production"
"gain recognition from","","獲得認可","","** gain|earn|receive|win + recognition|approval|acknowledgment|**  peer recognition","production"
"ultimate prize","","終極獎金/獎項","Participants aimed at the **ultimate prize**: an olive wreath.","","recognition"
"win the title","","奪得冠軍 (職業運動常用)","","","production"
"come off as surprising","","看起來令人驚訝","","","production"
"achieve success","","獲得成功","","** achieve (達成|獲得)","production"
"came to life","","熱鬧起來/活過來","","** 形容氣氛變得熱絡","production"
"work one's tail off","","拼命工作；極其努力","...because you are going to **work your tails off** here!","","recognition"
"limelight","n.","眾人注目的焦點","...pushed it into the international **limelight**.","** be in the limelight|steal the limelight","recognition"
"lighten","v.","減輕；變亮；使輕鬆","Her words **lightened** his burden.","** lighten the load|burden, lighten the mood, lighten up (放鬆)","recognition"
"make a comeback","","東山再起；復出","","","production"
"a sense of identity and belonging","","認同感與歸屬感","","** 心理學高頻詞彙，sense of belonging (歸屬感)","production"
"maintain an optimistic/positive outlook","","保持樂觀；維持樂觀的態度","","","production"
"widespread acclaim","","廣受好評","","**  garner","production"
"gem","n.","寶石；難能可貴的人事物","This hidden restaurant is a real **gem**.","","recognition"
"material wealth","","物質財富","","** wealth [U] 不可數，指金錢或物質上的財產","production"
"tide someone over","v.","幫助（某人）渡過難關（尤指金錢）","Could you lend me some money to **tide me over** until my next paycheck?","** tide sb. over (a period)","recognition"
"logistical","adj.","後勤的；物流的","Delivering supplies to the remote village was a huge **logistical** challenge.","","recognition"
"work mode","","工作模式","","** 指工作的方式或型態 (如遠端或混合)","production"
"job opportunities","","就業機會","","** opportunity (機會)","production"
"at an affordable price","","以負擔得起的價格","","** affordable (負擔得起的)","production"
"in the workplace","","在職場上","","** workplace (職場|辦公室)","production"
"roll out","","推出(新產品)；實行(新制度)","The government plans to **roll out** the new policy next month.","** roll out a product|policy","recognition"
"scalable","adj.","可擴展的；可升級的","We need to design a **scalable** system that can handle millions of users.","** 常用於科技|商業，指系統能隨需求擴大","recognition"
"provide funding for/to ...","","提供資金給...","","** funding [U] 資金|撥款","production"
"deficit","n.","赤字；不足額","The government is trying to reduce the budget **deficit**.","** trade deficit|attention deficit","recognition"
"with a credit card / by credit card","","使用信用卡 (介系詞)","","","production"
"sock away","","存錢（以備不時之需）","Once you get your paycheck, decide how much you want to **sock away**.","","recognition"
"ensure a leading position","","確保領先地位","","** ensure (確保)；leading (領先的)","production"
"attach","","附上","","","production"
"grant a day off","","准予放假","","**","production"
"a sophisticated merchant","","世故的；老練的商人","","** sophisticated 指在社交或職業上經驗豐富、圓滑的","production"
"the risk of vanishing","","（產業）消失的危機","","** vanish (消失)；risk (風險)","production"
"incentive","n.","誘因；激勵","Bonus payments provide an **incentive** to work harder.","** financial incentive","recognition"
"draw / attract","","吸引 (人潮/顧客/觀眾)","","","production"
"endear","","使受喜愛 vs. 代言/背書","1. Her kindness **endeared** her to everyone.|2. The celebrity **endorsed** the new sneaker brand.","","recognition"
"suck up funding","v. phr.","耗盡資金；大量吸收經費","Large infrastructure projects tend to **suck up funding** from other social programs.","** 帶有批評「像吸塵器一樣把錢吸光」的意味","recognition"
"asset","","資產；寶貴的人事物","","","production"
"innovate","v.","innovate [v.]","Companies must **innovate** to stay ahead of the competition.","** innovate new products","recognition"
"follow","","聽取/關注關於...的抱怨","The company decided to **follow** complaints about the faulty battery carefully.","** 在此情境下 follow 指「關注後續發展」或「遵循意見」","recognition"
"close out","","結束；結清；清倉","The store is having a sale to **close out** its summer stock.","** close out a sale|an account","recognition"
"stiff competition","","stiff competition","FedEx faced **stiff competition** from other delivery services.","","recognition"
"make a living","","為了生存、生活、生計","","** earn|make a living by + V-ing","production"
"compensate","v.","補償；賠償","The company will **compensate** workers for their injuries.","** compensate for (彌補)","recognition"
"lucrative","adj.","獲利豐厚的；賺錢的","","","recognition"
"take charge of","","負責、掌管","","** be in charge of (負責中)；take charge of (開始負責)","production"
"the way we work","","工作方式","","** the way (that) + S + V","production"
"reputable","adj.","聲譽好的；值得信賴的","It is safer to buy electronics from a **reputable** dealer.","","recognition"
"consumption","","消費","","** 指行為或總量 (注意不是 purchase 購買行為)|**  consumption habits","production"
"the issue of unemployment","","失業問題","","** issue 為「議題|問題」","production"
"retail industry","","零售業","","** 零售業 (vs. wholesale 批發)","production"
"heavy foot traffic","","繁忙的人流；人潮擁擠","The shop is located in an area with **heavy foot traffic**.","** be with heavy foot traffic","recognition"
"meet the demand","","滿足需求","","** meet|satisfy|fulfill + the demand|need|requirement","production"
"Inc.","","公司；股份有限公司","","","production"
"invest in","","投資於... (介系詞)","","","production"
"gain access to","","獲得...的權限/途徑","","","production"
"assume control of","","接管；掌權","The new director will **assume control of** the project next week.","** assume (v.) 承擔(責任|控制); 假定","recognition"
"draw up","v.","草擬；準備（文件）","The lawyers are **drawing up** a formal agreement for the partnership.","** draw up a contract|list","recognition"
"allocate","v.","分配；撥出","The government will **allocate** more funds to education this year.","** allocate resources|funds","recognition"
"債臺高築","","債臺高築","","","production"
"live within one's means","","量入為出 (在能力範圍內生活)","","** means 在此指「財力|收入」","production"
"hold anniversary clearances","","舉辦週年慶清倉特賣","","","production"
"trailblazer","n.","先驅；開拓者","This concept made it a **trailblazer** for the so-called daily deals industry.","","recognition"
"however busy we are with work","","無論我們工作多忙","","** however + adj.|adv. + S + V (不論多麼...)","production"
"陷入債務","","陷入債務","","** fall (陷入|墜入) 的慣用法","production"
"maintain the operation of","","維持運作","","","production"
"amassing a fortune / making big money","","賺大錢","","","production"
"teller","n.","(銀行)出納員；講故事者","Please go to the next available **teller** for your deposit.","** bank teller (銀行櫃員); fortune teller (算命師)","recognition"
"commodity","n.","商品；日用品；有價值的物品","","","recognition"
"lay off","","解僱","","","production"
"public purse","","國庫；公共資金","The cost of the project will be paid from the **public purse**.","** 指政府的錢。","recognition"
"口齒伶俐的；清楚表達","","articulate","","","production"
"teamwork","","團隊合作 (單一單字)","","","production"
"problem-solving abilities / skills","","解決問題的能力","","** 學測作文描述競爭力時的最標準寫法","production"
"a good work attitude","","良好的工作態度","","** attitude toward|to (對...的態度)","production"
"expertise","","專業知識/技能 (不可數)","","** 常用搭配 professional|technical expertise","production"
"be qualified for","","具備資格","","** be qualified for + 職位|be qualified to + V.","production"
"accumulate experience","","累積經驗","","** accumulate|gain|acquire + experience|knowledge|skills","production"
"certificate","n.","證書；證明","You will receive a **certificate** of completion after finishing the training course.","** birth certificate (出生證明); degree (學位)","recognition"
"competitiveness","","競爭力","","** 名詞形式，由 competitive 演變而來","production"
"savvy","adj./n.","精明的；有見識的 / 常識","1. He is a **savvy** investor.|2. She has a lot of tech **savvy**.","** tech-savvy (精通科技的)。","recognition"
"sit an exam","","參加考試 (應試)","You must **sit the entrance exam** to get into this university.","** 英式用法常用 sit an exam；美式常用 take an exam。","recognition"
"code optimization","","程式碼優化","","** optimization (最佳化|優化)","production"
"educator","","教育工作者","","** 老師|教育者的正式稱呼","production"
"在某方面表現傑出","","在某方面表現傑出","","** excel 為動詞；其形容詞為 excellent","production"
"the start-of-class / end-of-class bell","","上/下課鐘聲","","** 指校園內的鐘聲","production"
"put ... into practice","","付諸實行","","","production"
"resolve","","解決具體挑戰/問題 (r...)","","** 用於解決具體的問題、衝突或危機|**  resolve conflicts","production"
"make up for the lack/shortage of abilities","","彌補能力不足","","** make up for (彌補)；lack (缺乏|不足)","production"
"提升效率","","提升效率","","","production"
"instill ... into children at an early age","","在孩子小的時候灌輸他們...","","** instill (觀念) into (對象)|**  instill in","production"
"work one's way up","","一步步晉升；力爭上游","Mr. Moses had **worked his way up** to become a leading industrialist.","** work one's way up the corporate ladder","recognition"
"work [U.] / job [C.]","","工作 (可數/不可數)","","","production"
"admission [U.]","","入學許可","","","production"
"終身學習","","終身學習","","","production"
"honed","adj./p.p.","磨練過的；精進的","She has **honed** her debating skills through years of practice.","** hone one's skills (磨練技能)","recognition"
"be making efforts to","","正致力於...","","** make efforts to + VR","production"
"toil [U.]","","辛勞；勞苦","","","production"
"groom","v.","培訓；訓練 (以擔任要職)","He is being **groomed** as a possible successor to the CEO.","","recognition"
"雄辩的；有說服力的","","eloquent","","","production"
"academic performance","","學業表現","","","production"
"crafted with","","精心製作；以...工藝製成","This mechanical watch is **crafted with** precision and care.","** be crafted with + 工具|態度 (如 care, precision)","recognition"
"attain academic excellence","","取得卓越的學術成就","","** attain 為正式用字","production"
"rote learning / rote memorization","","死記硬背","**Rote learning** of facts... is a painful way to learn.","** rote memorization of sth.","recognition"
"land a job","","成功謀得一份工作","We may imagine that it (enhancing IQ) would help us get better grades, **land a better job**...","","recognition"
"realize","","落實、兌現","","** 除了「意識到」，還有「實現|使之成為現實」之意\n**例句:** We hope the government will **realize** its promises soon.|**  realize our dreams","production"
"inexperienced","","經驗不足的","","","production"
"looting","n./v.","搶劫；掠奪","Several shops were damaged during the **looting** that followed the riot.","","recognition"
"the authorities concerned","","有關當局","","","production"
"ban","","禁止","","","production"
"deter","v.","阻撓；威懾","High prices may **deter** customers from buying the product.","** deter sb. from V-ing","recognition"
"report ... to ...","","向...舉報/告發","","","production"
"officials / authorities","","官員","","** government officials (政府官員)；authorities (當局|官方)","production"
"relevant regulations","","相關規定","","** relevant (相關的)；regulations (規定)","production"
"stiffen the penalty","","加重刑罰 (建議用字)","","** stiffen (使硬化|加強)","production"
"criminalize","v.","criminalize：把原本不犯罪的行為「定為刑事犯罪」（偏立法／正式用語）","The government decided to **criminalize** the possession of certain drugs.","","recognition"
"warden","n.","管理員；監獄長；典獄長","The prison **warden** is responsible for the safety of both inmates and staff.","** prison warden|traffic warden (交通稽查員)","recognition"
"run a red light","","闖紅燈","","","production"
"invoke","v.","invoke [v.]","The president may **invoke** emergency powers.","** invoke a law|spirit","recognition"
"crack down on","","嚴厲打擊；取締","Several cities are taking steps to **crack down on** shoplifting.","** crack down on crime|illegal activities","recognition"
"abuse","","虐待","","","production"
"falling victim to fraud","","被詐騙","","**","production"
"labor rights / workers' rights","","勞工權益","","** labor (勞工|勞動力)","production"
"mandatory","adj.","強制的；義務的","Wearing a seatbelt is **mandatory** by law.","** mandatory training","recognition"
"be sued for","v. phr.","因...而被控告/起訴","The company **was sued for** breach of contract.","** sue sb. for + 理由","recognition"
"industry norm","","業界規範","","","production"
"drunk driving","","酒駕","","** 亦可稱 DUI (Driving Under the Influence)","production"
"before the law","","在法律面前 (人人平等)","","** 法律術語，指在法律審視下","production"
"be strictly prohibited by law","","法律嚴格禁止","","** prohibit (禁止)；常用被動語態","production"
"go on strike","","罷工","","","production"
"penalty","","處罰 (注意拼字)","","** 複數為 penalties|**  stiffen the penalty","production"
"the police","","警方","","","production"
"comply with / abide by / adhere to","","遵守 (法律/規定)","","** 寫作建議少用 obey，這三組更正式","production"
"stand a fair trial","","接受公正審判","","** 法律文書常用 stand (面對|接受)","production"
"frame","v.","陷害；栽贓","He claimed that his enemies tried to **frame** him for the crime.","** frame sb. for sth. (因某事栽贓某人)","recognition"
"patent","","專利 vs. 強效的","1. The company filed a **patent** for their new invention.|2. This drug is extremely **potent**.","","recognition"
"uphold","","落實/維護 (權利)","","** 用於權利、法律、正義的維護","production"
"live out one’s sentence","phr.","服完刑期","He was forced to **live out his sentence** in a high-security prison.","** sentence 在此指「判決；刑期」","recognition"
"嚇阻 (法律用語)","","嚇阻 (法律用語)","","","production"
"bureaucracy","n.","官僚體制；繁文縟節","Excessive **bureaucracy** can hinder business growth.","** cut through the bureaucracy","recognition"
"be censored","","被審查","","","production"
"impose penalties on / punish violators","","對違規者施以處罰/懲罰違規者","","** impose penalties on + 對象","production"
"poach","v.","盜獵；偷捕","**Poaching** and loss of habitats are still making serious threats to pandas' lives.","","recognition"
"brothel","n.","妓院","The police raided an illegal **brothel** in the city center.","","recognition"
"legal charges","","法律起訴/指控","","** press legal charges against sb.","production"
"lay down","","制定（規則/法律）；放下","The government **laid down** strict regulations on pollution.","** lay down the law|rules","recognition"
"governments worldwide","","各國政府","","** 指全球範圍內的政府，寫作時比 various governments 更正式","production"
"off-limits","adj.","禁止進入的；禁區的","This area is **off-limits** to unauthorized personnel.","** be off-limits to sb.","recognition"
"system / institution","","制度","","** 如 educational system (教育制度)","production"
"polygraph","n.","測謊機","The suspect was asked to take a **polygraph** test.","","recognition"
"relieve backache","","減輕背痛","","","production"
"be exposed to","","暴露於...；面臨...；接觸...","The workers were **exposed to** harmful chemicals.","** 後接名詞 (危險、輻射、新觀念等)","recognition"
"Prevention is better than cure.","","預防勝於治療 (格言)","","** 學測衛教類寫作必備佳句","production"
"prevent the spread of infectious diseases","","預防傳染病的傳播","","** infectious (傳染性的)","production"
"boost our immunity","","增強我們的免疫力","","** boost (提高)；immunity (免疫力)","production"
"hygiene practices","","衛生習慣","","","production"
"acute","adj.","嚴重的；急性的；敏銳的","It is particularly **acute** for patients who may have anxiety...","** acute pain (劇痛)|acute shortage (嚴重短缺)","recognition"
"sleep apnea","n.","睡眠呼吸中止症","Common symptoms of **sleep apnea** include loud snoring and daytime fatigue.","** 醫學名詞，apnea 指「呼吸暫停」。","recognition"
"benign","adj.","良性的；仁慈的；無害的","The tumor turned out to be **benign**, not cancerous.","** benign environment","recognition"
"National Health Insurance (NHI)","","全民健保","","** 專有名詞需大寫","production"
"deadly / fatal illnesses","","致命疾病","","** deadly 與 fatal 常用於描述致命的","production"
"compromise","v.","損害；危及；連累 (熟詞生義)","When alveoli collapse, they **compromise** the ability of the lung to exchange oxygen...","","recognition"
"have physical check-ups","","做身體檢查","","** check-up (名詞：檢查)","production"
"treat illness","","治療疾病","","** treat (治療)；illness (疾病|生病狀態)","production"
"equal medical care","","平等的醫療待遇","","** care (照護|醫療)","production"
"wear off","","逐漸消失 (藥效、感覺、塗層等)","The effect of the painkiller began to **wear off** after a few hours.","** 通常指慢慢消退","recognition"
"bacterial infections","","細菌感染","","** bacteria (細菌) 的形容詞為 bacterial","production"
"the average human lifespan","","人類平均壽命","","** lifespan (壽命)","production"
"prescription","","處方箋 (注意：可數)","","** fill a prescription (按方抓藥)","production"
"loss of life","","生命損失","","** heavy|tragic loss of life","production"
"nausea","n.","噁心；反胃","A wave of **nausea** swept over him during the boat ride.","** feel nausea (感到噁心)","recognition"
"uptake","","攝取/吸收 vs. 攝入量","1. Plants absorb nutrients through root **uptake**.|2. You should limit your daily **intake** of sugar.","","recognition"
"pull through","v.","渡過難關；（從重病中）康復","The doctor is confident that the patient will **pull through** after the surgery.","** pull through a crisis|illness","recognition"
"cause casualties","","造成死傷","","","recognition"
"susceptible","adj.","易受影響的；易受傷害的","...bones tend to shrink... becoming weak and more **susceptible** to fracture.","** be susceptible to + N.","recognition"
"claim (the lives of...)","","奪走（許多生命）","","","production"
"medicine","","醫學 (整個領域)","","** 指醫學界或醫學技術；medication 則指具體的藥物","production"
"amputate","v.","截肢","He had no choice but to have his right leg **amputated**.","","recognition"
"prostheses","n.","義肢；假體 (prosthesis 的複數)","Modern **prostheses** allow athletes to run competitively.","** artificial limbs","recognition"
"pass out","","昏倒 vs. 過世","1. It was so hot that he almost **passed out**.|2. Her grandfather **passed away** peacefully last night.","","recognition"
"ocular","adj.","眼睛的；視覺的","The doctor conducted a thorough **ocular** examination.","** ocular inspection (目視檢查)","recognition"
"physical trait","","身體特徵","Long legs are a **physical trait** shared by people there.","","recognition"
"digital detox","","數位排毒","","","production"
"adipose","adj./n.","脂肪的；脂肪","**Adipose** tissue stores energy in the form of fat.","** adipose tissue (脂肪組織)","recognition"
